"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id","logpop"
"San Antonio","San Antonio","NM","New Mexico",35053,"Socorro",33.9161,-106.87,11,9,"polygon",FALSE,FALSE,"America/Denver",3,"87801 87832",1840025017,2.39789527279837
"Fox Lake","Fox Lake","IL","Illinois",17097,"Lake",42.4239,-88.1844,10451,515,"polygon",FALSE,TRUE,"America/Chicago",3,"60020 60081 60041",1840011168,9.2544529465945
"Gastonia","Gastonia","NC","North Carolina",37071,"Gaston",35.2494,-81.1853,182581,577,"polygon",FALSE,TRUE,"America/New_York",2,"28054 28056 28052",1840013468,12.1149491891552
"Yachats","Yachats","OR","Oregon",41041,"Lincoln",44.3126,-124.1022,784,332,"polygon",FALSE,TRUE,"America/Los_Angeles",3,"97498",1840021236,6.66440902035041
"Spring Gap","Spring Gap","MD","Maryland",24001,"Allegany",39.5653,-78.7054,57,34,"polygon",FALSE,FALSE,"America/New_York",3,"21502",1840024436,4.04305126783455
"Lone Elm","Lone Elm","KS","Kansas",20003,"Anderson",38.0796,-95.243,23,131,"polygon",FALSE,TRUE,"America/Chicago",3,"66039",1840009828,3.13549421592915
"Peabody","Peabody","KS","Kansas",20115,"Marion",38.1683,-97.1043,1101,335,"polygon",FALSE,TRUE,"America/Chicago",3,"66866",1840009662,7.00397413672268
"Gloucester City","Gloucester City","NJ","New Jersey",34007,"Camden",39.8924,-75.1172,11219,1875,"polygon",FALSE,TRUE,"America/New_York",3,"08030",1840003777,9.32536404854496
"Fruit Heights","Fruit Heights","UT","Utah",49011,"Davis",41.0277,-111.9081,6221,1048,"polygon",FALSE,TRUE,"America/Denver",3,"84037",1840020143,8.73568594451502
"Fontana Dam","Fontana Dam","NC","North Carolina",37075,"Graham",35.4328,-83.8248,7,4,"polygon",FALSE,TRUE,"America/New_York",3,"28771 28733",1840043448,1.94591014905531
"South Park View","South Park View","KY","Kentucky",21111,"Jefferson",38.1185,-85.7199,7,21,"polygon",FALSE,TRUE,"America/New_York",3,"40219",1840030584,1.94591014905531
"Concord","Concord","NC","North Carolina",37025,"Cabarrus",35.3933,-80.6366,261801,585,"polygon",FALSE,TRUE,"America/New_York",2,"28025 28027 28026",1840014559,12.4753399521603
"Madison","Madison","IN","Indiana",18077,"Jefferson",38.7581,-85.3974,18109,530,"polygon",FALSE,TRUE,"America/Indiana/Indianapolis",3,"47250",1840009728,9.80416433124134
"Flasher","Flasher","ND","North Dakota",38059,"Morton",46.4521,-101.2324,205,124,"polygon",FALSE,TRUE,"America/North_Dakota/New_Salem",3,"58535",1840000196,5.32300997913841
